student_id,attendance_rate,homework_submission_rate,exam_score_avg,gate_pass_violations,bus_delay_minutes,sentiment_score,sentiment_text,gamified_points,risk_label
STU00001,85.93,72.53,93.95,0,17,0.8,Love my teachers,1195,0
STU00002,89.78,88.41,68.25,0,1,0.24,I feel great today,1225,0
STU00003,89.97,65.26,67.79,0,2,-0.05,I feel great today,991,0
STU00004,69.87,79.42,77.36,1,11,0.52,Love my teachers,1181,0
STU00005,93.79,71.86,81.99,0,7,-0.11,Excited for the football game,1128,0
STU00006,96.48,66.09,64.22,1,0,0.66,Class was fun,982,0
STU00007,65.71,31.27,76.04,0,3,0.09,Nobody wants to talk to me,692,0
STU00008,60.98,77.72,68.98,1,10,0.76,Class was fun,1122,0
STU00009,86.43,74.07,43.14,0,0,-0.59,Too much pressure,956,1
STU00010,81.55,50.5,54.92,0,0,-0.27,Feeling very overwhelmed,779,1
STU00011,78.16,72.21,84.21,1,6,0.24,Love my teachers,1143,0
STU00012,65.83,91.22,68.2,0,5,-0.18,Love my teachers,1253,0
STU00013,70.13,42.86,65.6,2,5,-0.02,I feel lonely during lunch,756,1
STU00014,95.33,69.68,84.38,0,6,0.88,I feel great today,1118,0
STU00015,79.55,81.77,97.39,0,1,0.65,Had a good day at school,1304,0
STU00016,71.25,52.87,97.76,0,1,-0.71,So tired and stressed out,1017,1
STU00017,77.64,53.54,82.51,0,0,-0.23,Feeling very overwhelmed,947,0
STU00018,79.86,71.18,74.13,1,2,0.82,I feel great today,1082,0
STU00019,83.17,55.69,87.69,0,5,-0.16,Feeling very overwhelmed,995,0
STU00020,71.39,65.88,85.46,1,6,0.75,Class was fun,1086,0
STU00021,70.54,66.2,83.24,0,0,0.79,Class was fun,1078,0
STU00022,69.62,72.13,77.6,0,3,0.56,Had a good day at school,1109,0
STU00023,63.34,66.01,81.06,0,0,-0.01,Had a good day at school,1065,0
STU00024,66.75,49.74,87.39,0,2,-0.09,Feeling very overwhelmed,934,0
STU00025,75.68,49.85,94.59,0,0,-0.55,I feel lonely during lunch,971,1
STU00026,54.27,69.01,67.8,0,14,0.49,Class was fun,1029,0
STU00027,96.1,62.64,78.37,0,1,0.81,Love my teachers,1018,0
STU00028,85.66,67.32,78.69,1,0,0.7,Love my teachers,1066,0
STU00029,87.38,85.15,75.15,1,11,0.27,Love my teachers,1227,0
STU00030,83.25,80.43,100.0,0,5,0.7,Had a good day at school,1304,0
STU00031,78.45,80.09,65.09,0,7,0.54,Homework was easy,1126,0
STU00032,77.27,73.43,77.78,1,2,0.78,Class was fun,1123,0
STU00033,59.22,30.3,71.37,0,0,-0.86,So tired and stressed out,659,1
STU00034,66.22,90.46,64.87,0,16,-0.19,Had a good day at school,1228,0
STU00035,70.52,74.29,69.82,0,4,0.88,Excited for the football game,1092,0
STU00036,90.2,79.75,58.74,0,0,0.97,I feel great today,1091,0
STU00037,61.6,59.88,74.12,2,4,-0.54,Nobody wants to talk to me,969,1
STU00038,77.14,74.83,74.33,3,7,0.93,Love my teachers,1119,0
STU00039,71.33,65.99,56.59,0,5,0.42,Homework was easy,942,0
STU00040,76.09,75.0,86.66,0,7,0.54,Excited for the football game,1183,0
STU00041,66.07,93.31,71.77,0,7,0.28,Excited for the football game,1291,0
STU00042,97.11,92.69,73.93,0,0,-0.05,Class was fun,1296,0
STU00043,92.34,58.84,68.64,0,0,-0.86,Nobody wants to talk to me,931,1
STU00044,84.39,70.57,77.57,1,1,0.77,Excited for the football game,1093,0
STU00045,69.62,87.16,85.22,1,3,-0.07,I feel great today,1297,0
STU00046,94.01,80.51,62.02,1,5,0.75,I feel great today,1115,0
STU00047,76.77,47.53,91.75,0,2,0.18,So tired and stressed out,934,0
STU00048,78.67,74.38,70.04,0,11,-0.1,I feel great today,1094,0
STU00049,81.39,79.62,68.61,1,4,0.14,Excited for the football game,1139,0
STU00050,70.36,54.47,82.66,0,3,-0.36,Struggling with math,958,1
STU00051,83.34,55.06,68.08,0,7,-0.29,I feel lonely during lunch,891,0
STU00052,76.09,81.02,76.04,0,9,-0.03,Excited for the football game,1190,0
STU00053,86.68,63.91,99.9,1,8,0.33,I feel great today,1138,0
STU00054,97.9,55.53,85.71,0,0,0.13,Too much pressure,983,0
STU00055,91.12,55.41,75.98,0,1,-0.7,So tired and stressed out,934,1
STU00056,84.95,84.06,86.57,0,5,0.45,Had a good day at school,1273,0
STU00057,94.35,78.8,47.1,0,4,-0.39,Feeling very overwhelmed,1023,0
STU00058,80.47,76.79,78.0,0,2,0.68,Homework was easy,1157,0
STU00059,76.02,48.8,81.29,0,2,-0.04,Feeling very overwhelmed,894,0
STU00060,98.97,87.22,61.49,0,3,0.3,Had a good day at school,1179,0
STU00061,67.56,68.96,81.2,0,2,-0.1,Excited for the football game,1095,0
STU00062,80.32,55.23,100.0,0,7,-0.46,Too much pressure,1052,0
STU00063,96.78,55.48,71.94,0,1,-0.23,I feel lonely during lunch,914,0
